brand,model,top_speed_kmh,battery_capacity_kWh,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,drivetrain,segment,car_body_type
Kia,EV4 Hatchback Long Range,170,78,132,475,7.7,105,CCS,FWD,C - Medium,Hatchback
Kia,EV4 Hatchback Standard Range,170,55,134,340,7.4,80,CCS,FWD,C - Medium,Hatchback
Kia,EV4 Sedan Long Range,170,78,124,495,7.7,105,CCS,FWD,C - Medium,Sedan
Kia,EV4 Sedan Standard Range,170,55,128,355,7.4,80,CCS,FWD,C - Medium,Sedan
Kia,EV6 GT,260,80,178,385,3.5,205,CCS,AWD,JC - Medium,SUV
Kia,EV6 Long Range 2WD,185,80,143,455,7.3,205,CCS,RWD,JC - Medium,SUV
Kia,EV6 Long Range AWD,185,80,154,440,5.2,205,CCS,AWD,JC - Medium,SUV
Kia,EV6 Standard Range 2WD,185,60,140,345,8.7,150,CCS,RWD,JC - Medium,SUV
Kia,EV9 76.1 kWh RWD,190,73,165,355,8.5,160,CCS,RWD,JF - Luxury,SUV
Kia,EV9 99.8 kWh AWD,200,96,188,435,6,194,CCS,AWD,JF - Luxury,SUV
Kia,EV9 99.8 kWh AWD GT,220,96,190,420,4.6,194,CCS,AWD,JF - Luxury,SUV
Kia,EV9 99.8 kWh AWD GT-Line,200,96,190,425,5.3,194,CCS,AWD,JF - Luxury,SUV
Kia,EV9 99.8 kWh RWD,185,96,171,450,9.4,194,CCS,RWD,JF - Luxury,SUV
Kia,Niro EV,167,64.8,140,385,7.8,70,CCS,FWD,JC - Medium,SUV
Lancia,Ypsilon,150,48.1,122,310,8.2,80,CCS,FWD,B - Compact,Hatchback
Leapmotor,C10,170,69.9,166,350,7.5,70,CCS,RWD,JD - Large,SUV
Leapmotor,T03,130,36,136,225,12.7,30,CCS,FWD,A - Mini,Hatchback
Lexus,RZ 300e,160,64,149,365,8,100,CCS,FWD,JC - Medium,SUV
Lexus,RZ 450e,160,64,158,350,5.6,100,CCS,AWD,JD - Large,SUV
Lexus,UX 300e,160,64,145,340,7.5,35,CHAdeMO,FWD,JC - Medium,SUV
Lotus,Eletre,250,109,204,495,4.5,259,CCS,AWD,JF - Luxury,SUV
Lotus,Eletre R,260,109,266,455,2.9,259,CCS,AWD,JF - Luxury,SUV
Lotus,Eletre S,250,109,222,480,4.5,259,CCS,AWD,JF - Luxury,SUV
Lotus,Emeya,250,98.9,198,520,4.2,240,CCS,AWD,F - Luxury,Liftback Sedan
Lotus,Emeya R,256,98.9,227,465,2.8,240,CCS,AWD,F - Luxury,Liftback Sedan
Lotus,Emeya S,250,98.9,198,520,4.2,240,CCS,AWD,F - Luxury,Liftback Sedan
Lucid,Air Grand Touring,270,112,143,665,3,184,CCS,AWD,F - Luxury,Sedan
Lucid,Air Pure RWD,200,92,130,565,4.7,160,CCS,RWD,F - Luxury,Sedan
Lucid,Air Touring,250,92,142,580,3.2,160,CCS,AWD,F - Luxury,Sedan
Lynk&Co,2,180,65,149,370,5.5,90,CCS,RWD,JC - Medium,SUV
